date,nice_date,day,time,text,is_retweet,id
2015-12-30 11:13:00,"December 30, 2015 11:13 AM",Wednesday,1113,@videosigninc: @  realDonaldTrump Keep the momentum going Mr. Trump. All the best to you for the New Year. Make America Great Again ! Thanks,FALSE,3439
2015-12-30 11:15:00,"December 30, 2015 11:15 AM",Wednesday,1115,@hammetjohn: DonaldTrump - How do u do it Donald. No one could keep up with u at your pace. Shows how hard u will work for us as President,FALSE,3440
2015-12-30 11:16:00,"December 30, 2015 11:16 AM",Wednesday,1116,@bfb123456: @  trumpiowa @  PlaysTrumpCard @  realDonaldTrump  WOW! FANTASTIC!. WHO KNEW AMERICANS WERE SO SMART? GREAT TO KNOW WE'RE so smart,FALSE,3441
2015-12-30 11:17:00,"December 30, 2015 11:17 AM",Wednesday,1117,@TruthisAll1: @  realDonaldTrump @  CharlesHurt @  seanhannity Good morning Mr. Trump. You're so AWESOME. #Trump2016 ,FALSE,3442
2015-12-30 12:06:00,"December 30, 2015 12:06 PM",Wednesday,1206,The dying @  UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!,FALSE,3443
2015-12-30 13:22:00,"December 30, 2015 01:22 PM",Wednesday,1322,Joe McQuaid (@  deucecrew) is desperately trying to sell the @  UnionLeader. It's a loser and my comments haven't helped him much.,FALSE,3444
2015-12-30 13:52:00,"December 30, 2015 01:52 PM",Wednesday,1352,I never thought I'd be saying this but I've really enjoyed  @  RichLowry on television lately and he was terrific hosting @  seanhannity,FALSE,3445
2015-12-30 16:28:00,"December 30, 2015 04:28 PM",Wednesday,1628,Thank you Hilton Head South Carolina! @  SCTeamTrump #Trump2016  ,FALSE,3446
2015-12-30 18:04:00,"December 30, 2015 06:04 PM",Wednesday,1804,Thank you Hilton Head South Carolina! #MakeAmericaGreatAgain #Trump2016 ,FALSE,3447
2015-12-30 18:28:00,"December 30, 2015 06:28 PM",Wednesday,1828,I'm going to be live with @  ericbolling and @  kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @  foxnews tomorrow night!,FALSE,3448
2015-12-30 19:22:00,"December 30, 2015 07:22 PM",Wednesday,1922,Great poll- thank you Nevada!#MakeAmericaGreatAgain #Trump2016 ,FALSE,3449
2015-12-30 19:57:00,"December 30, 2015 07:57 PM",Wednesday,1957,A lovely letter from the daughter of the late great John Wayne. Our country could use a John Wayne right now. ,FALSE,3450
2015-12-31 02:11:00,"December 31, 2015 02:11 AM",Thursday,0211,I predict that dying @  UnionLeader newspaper which has been run into the ground by publisher "Stinky" Joe McQuaid will be dead in 2 years!,FALSE,3451
2015-12-31 02:15:00,"December 31, 2015 02:15 AM",Thursday,0215,A GREAT day in South Carolina. Record crowd and fantastic enthusiasm. This is now a movement to MAKE AMERICA GREAT AGAIN!,FALSE,3452
2015-12-31 03:01:00,"December 31, 2015 03:01 AM",Thursday,0301,@BentleyforTrump: @  realDonaldTrump ALL OF AMERICA LOVES TRUMP! #TrumpOrNobody2016 #MakeAmericaGreatAgain Thank you.,FALSE,3453
2015-12-31 03:10:00,"December 31, 2015 03:10 AM",Thursday,0310,.@  JebBush has spent  $63000000 and is at the bottom of the polls. I have spent almost nothing and am at the top. WIN!  @  hughhewitt,FALSE,3454
2015-12-31 07:52:00,"December 31, 2015 07:52 AM",Thursday,0752,@Trump2016Donald: @  realDonaldTrump @  JebBush @  hughhewitt Patriots for trump! ,FALSE,3455
2015-12-31 07:53:00,"December 31, 2015 07:53 AM",Thursday,0753,@Luciano031982: @  realDonaldTrump Veterans Love Trump But I love the VETS even more!,FALSE,3456
2015-12-31 07:56:00,"December 31, 2015 07:56 AM",Thursday,0756,@nikkisue69: @  realDonaldTrump @  JebBush @  hughhewitt  Jeb is such a lightweight,FALSE,3457
2015-12-31 07:58:00,"December 31, 2015 07:58 AM",Thursday,0758,@ddpick18: @  realDonaldTrump @  JebBush @  hughhewitt I get pissed off every time I see his ads on Fox. Waste of money! Go Trump!  Many do!,FALSE,3458
2015-12-31 08:04:00,"December 31, 2015 08:04 AM",Thursday,0804,People ask "why do you tweet and re-tweet to millions about @  JebBush when he is so low in the polls?" Because of his big $ hit ads on me!,FALSE,3459
2015-12-31 08:10:00,"December 31, 2015 08:10 AM",Thursday,0810,@InsideGym: The Most Influential U.S. Gymnasts Of All Time:  @  NastiaLiukin @  ShawnJohnson @  ASAQ_3   Fantastic Shawn,FALSE,3460
2015-12-31 08:15:00,"December 31, 2015 08:15 AM",Thursday,0815,@BretBaier: .@  realDonaldTrump's reaction that @  LindseyGrahamSC is dropping out of the 2016 race. Your thoughts? ,FALSE,3461
2015-12-31 08:28:00,"December 31, 2015 08:28 AM",Thursday,0828,@SenSanders: I have a message for Donald Trump: No were not going to hate Latinos were not going to hate Muslims.  I fully agree!,FALSE,3462
2015-12-31 08:42:00,"December 31, 2015 08:42 AM",Thursday,0842,@stylin1188: Donald Trump is running the most cost-effective presidential campaign in modern history  Thank you!,FALSE,3463
2015-12-31 08:46:00,"December 31, 2015 08:46 AM",Thursday,0846,@wmsolomon: 'On Point' with Gov. Sarah Palin and; Donald Trump ,FALSE,3464
2015-12-31 08:53:00,"December 31, 2015 08:53 AM",Thursday,0853,@deggow: Just heard a 25 year old man say I would rather work for Donald Trump than Bernie Sanders"it's time for me to leave this party.",FALSE,3465
2015-12-31 09:01:00,"December 31, 2015 09:01 AM",Thursday,0901,@whispers34: Nevada Poll: Donald Trump 33% Ted Cruz 20% Marco Rubio 11%...  via @  thelastrefuge2  Great news!,FALSE,3466
2015-12-31 10:51:00,"December 31, 2015 10:51 AM",Thursday,1051,#MakeAmericaGreatAgain #Trump2016 ,FALSE,3467
2015-12-31 13:07:00,"December 31, 2015 01:07 PM",Thursday,1307,I would feel sorry for @  JebBush and how badly he is doing with his campaign other than for the fact he took millions of $'s of hit ads on me,FALSE,3468
2015-12-31 14:52:00,"December 31, 2015 02:52 PM",Thursday,1452,HAPPY BIRTHDAY to my son @  DonaldJTrumpJr! Very proud of you! #TBT  ,FALSE,3469
2015-12-31 16:51:00,"December 31, 2015 04:51 PM",Thursday,1651,THANK YOU ILLINOIS! Let's not forget to get family and; friends- out to VOTE IN 2016!  ,FALSE,3470
2015-12-31 21:11:00,"December 31, 2015 09:11 PM",Thursday,2111,Do you believe that The State Department on NEW YEAR'S EVE just released more of Hillary's e-mails. They just want it all to end. BAD!,FALSE,3471
2015-12-31 21:21:00,"December 31, 2015 09:21 PM",Thursday,2121,I would like to wish everyone A HAPPY AND HEALTHY NEW YEAR. WE MUST ALL WORK TOGETHER TO FINALLY MAKE AMERICA SAFE AGAIN AND GREAT AGAIN!,FALSE,3472
2015-12-31 22:44:00,"December 31, 2015 10:44 PM",Thursday,2244,I will be on @  FoxNews live  with members of my family at 11:50 P.M. We will ring in the New Year together! MAKE AMERICA GREAT AGAIN!,FALSE,3473
2016-01-01 01:25:00,"January 01, 2016 01:25 AM",Friday,0125,HAPPY NEW YEAR and; THANK YOU!  ,FALSE,3474
2016-01-01 03:18:00,"January 01, 2016 03:18 AM",Friday,0318,#HappyNewYearAmerica! ,FALSE,3475
